file_or_layer	field	unit_or_type	description
matched_stations.gpkg / matched_stations	pair_id	text	Stable ANA-code plus SWORD-v17b-reach key used by every file.
matched_stations.gpkg / matched_stations	ANA_code	text	ANA/RHN station code.
matched_stations.gpkg / matched_stations	ANA_station_name	text	ANA station name.
matched_stations.gpkg / matched_stations	latitude	degrees north	ANA station latitude.
matched_stations.gpkg / matched_stations	longitude	degrees east	ANA station longitude.
matched_stations.gpkg / matched_stations	altitude_m	m	ANA station altitude.
matched_stations.gpkg / matched_stations	ANA_drainage_area_km2	km2	Official ANA drainage area where available.
matched_stations.gpkg / matched_stations	ANA_basin_name	text	ANA basin name.
matched_stations.gpkg / matched_stations	ANA_basin_code	integer	ANA basin code.
matched_stations.gpkg / matched_stations	ANA_subbasin_name	text	ANA subbasin name.
matched_stations.gpkg / matched_stations	ANA_subbasin_code	integer	ANA subbasin code.
matched_stations.gpkg / matched_stations	ANA_river_name	text	ANA river name.
matched_stations.gpkg / matched_stations	ANA_river_code	integer	ANA river code.
matched_stations.gpkg / matched_stations	ANA_basic_network	text	ANA basic-network membership from the source inventory.
matched_stations.gpkg / matched_stations	ANA_strategic_network	text	ANA strategic-network membership from the source inventory.
matched_stations.gpkg / matched_stations	ANA_RHNR_network	text	ANA RHNR-network membership from the source inventory.
matched_stations.gpkg / matched_stations	SWORD_v17b_node_id	text	Matched SWORD v17b node identifier.
matched_stations.gpkg / matched_stations	SWORD_v17b_reach_id	text	Matched SWORD v17b reach identifier.
matched_stations.gpkg / matched_stations	SWORD_v16_node_id	text	SWORD v16 node identifier.
matched_stations.gpkg / matched_stations	SWORD_v16_reach_id	text	SWORD v16 reach identifier. It is absent for seven pairs.
matched_stations.gpkg / matched_stations	SWORD_drainage_area_km2	km2	SWORD flow-accumulation drainage area.
matched_stations.gpkg / matched_stations	SWORD_v17b_width_m	m	SWORD v17b prior/mean channel width.
matched_stations.gpkg / matched_stations	match_distance_km	km	ANA station to selected SWORD v17b node distance.
matched_stations.gpkg / matched_stations	match_distance_width_ratio	dimensionless	Match distance divided by SWORD width.
matched_stations.gpkg / matched_stations	drainage_area_difference_ANA_minus_SWORD_km2	km2	ANA minus SWORD drainage area.
matched_stations.gpkg / matched_stations	drainage_area_relative_difference_ANA_minus_SWORD	dimensionless	ANA-minus-SWORD drainage area divided by ANA area.
matched_stations.gpkg / matched_stations	country_south_america	text	South American country assigned to the station point.
matched_stations.gpkg / matched_stations	vertical_offset_m	m	Station-specific median-based vertical offset.
matched_stations.gpkg / matched_stations	WSE_n_coincident	count	Number of coincident ANA and SWOT WSE observations.
matched_stations.gpkg / matched_stations	WSE_n_quality_pass	count	Number of coincident WSE observations passing every quality criterion.
matched_stations.gpkg / matched_stations	WSE_quality_filtered_station	logical	TRUE when at least 12 quality-passing WSE observations remain.
matched_stations.gpkg / matched_stations	DAWG_n_records_all_models	count	Total DAWG records across all available models.
matched_stations.gpkg / matched_stations	DAWG_n_models	count	Number of DAWG models present.
matched_stations.gpkg / matched_stations	DAWG_max_records_one_model	count	Largest DAWG record count in one model.
matched_stations.gpkg / matched_stations	discharge_n_coincident_rows	count	ANA-coincident DAWG rows summed across models.
matched_stations.gpkg / matched_stations	discharge_max_coincident_dates_one_model	count	Largest distinct ANA-coincident date count in one model.
matched_stations.gpkg / matched_stations	discharge_has_12_coincident_one_model	logical	TRUE when one model has at least 12 ANA-coincident DAWG records.
matched_stations.gpkg / matched_stations	geom	WGS 84 point	ANA station point geometry.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	pair_id	text	Stable ANA-code plus SWORD-v17b-reach key used by every file.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	date	ISO 8601 date	UTC calendar date used for ANA-SWOT alignment.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	SWOT_time_UTC	ISO 8601 UTC timestamp	SWOT observation time in UTC.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	ANA_code	text	ANA/RHN station code.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	SWORD_v17b_node_id	text	Matched SWORD v17b node identifier.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	SWORD_v17b_reach_id	text	Matched SWORD v17b reach identifier.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	SWORD_v16_node_id	text	SWORD v16 node identifier.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	SWORD_v16_reach_id	text	SWORD v16 reach identifier. It is absent for seven pairs.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	ANA_gauge_level_cm	cm	Raw ANA gauge stage in its local datum.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	ANA_gauge_level_m	m	Raw ANA gauge stage converted to metres.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	vertical_offset_m	m	Station-specific median-based vertical offset.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	ANA_wse_offset_adjusted_m	m	ANA stage plus vertical offset, comparable to SWOT WSE.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	SWOT_wse_m	m	Raw SWOT RiverSP node WSE.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	SWOT_wse_uncertainty_m	m	Reported uncertainty of raw SWOT WSE.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	WSE_difference_SWOT_minus_adjusted_ANA_m	m	SWOT raw WSE minus offset-adjusted ANA WSE.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	WSE_absolute_error_m	m	Absolute WSE difference.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	SWOT_width_m	m	SWOT RiverSP node width.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	SWOT_width_uncertainty_m	m	Reported uncertainty of SWOT node width.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	node_q	integer quality flag	SWOT node summary quality flag.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	node_q_b	integer bitmask	SWOT node bitwise quality flag.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	dark_frac	fraction	Fraction of dark-water area.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	ice_clim_f	integer flag	Climatological ice flag.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	xovr_cal_q	integer flag	Crossover-calibration quality flag.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	SWOT_hampel_flag	integer flag	Temporal Hampel outlier flag computed within station/node/reach.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	SWOT_cross_track_distance_m	m	Signed SWOT cross-track distance.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	partial_f	integer flag	Reach partial-observation flag.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	obs_frac_n	fraction	Fraction of reach nodes observed.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	SWORD_prior_wse_m	m	SWORD prior WSE.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	SWORD_prior_width_m	m	SWORD prior width.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	SWORD_prior_length_m	m	SWORD prior reach length.
WSE_time_series_all.txt and WSE_time_series_quality_filtered.txt	pass_node_q	logical	TRUE when node_q < 3.
